AT,V,AP,RH,PE
22.78,62.44,1011.79,75.43,446.12
13.94,41.26,1021.67,74.4,467.9
24.62,70.47,1010.55,72.71,435.88
24.86,44.05,1005.69,66.65,447.2
16.24,41.93,1021.66,44.91,467.69
7.82,40.72,1022.17,88.13,481.52
25.44,63.13,1011.74,77.83,441.91
23.75,61.5,1008.16,69.14,442.35
29.85,61.85,1005.45,61.85,436.46
28.54,76.86,1000.09,74.67,433.35
23.51,58.79,1016.44,65.38,445.75
20.55,63.86,1015.12,73.98,447.54
14.13,48.92,1011.72,78.06,464.17
26.53,65.18,1012.77,64.37,437.39
29.6,69.82,1010.49,61.66,438.47
14.62,46.18,1014.75,96.81,462.26
5.8,45.87,1009.14,92.06,481.6
20.85,56.89,1013.15,68.22,450.07
14.56,45.51,1015.39,69.84,469.79
11.93,38.78,1013.15,96.08,474.57
12.62,40.83,1010.06,81.52,470.94
28.88,73.68,1015.25,47.73,432.93
26.49,67.69,1004.61,78.13,430.62
12.59,39.72,1017.76,61.14,470.18
31.81,69.88,1007.94,55.91,432.6
25.48,58.95,1017.02,51.16,440.42
27.22,66.48,1004.59,52.66,436.06
13.74,41.16,1010.74,87.69,473.19
25.95,59.14,1016.42,67.03,438.46
28.92,72.43,1007.03,66.14,431.5
13.72,34.03,1018.57,65.95,469.25
21.75,59.8,1016.65,72.94,453.17
19.88,47.03,1012.27,91.99,456.44
25.16,74.33,1014.55,76.7,436.15
29.92,57.19,1008.62,45.8,438.99
5.72,40.81,1025.78,92.46,487.8
26.2,71.73,1009.99,74.99,434.08
15.89,38.73,1001.45,74.37,465.76
26.17,58.86,1014.52,51.28,443.69
10.82,44.63,1020.64,90.26,473.23
7.79,43.13,1019.67,85.35,484.42
10.86,37.5,1013.36,75.56,473.75
21.76,60.27,1018.96,85.06,446.86
24.94,62.96,1019.76,58.44,443.48
14.28,37.2,1013.96,82.71,467.44
12.38,43.52,1022.98,100.0,467.55
16.4,44.9,1009.22,82.31,456.11
8.82,43.56,1014.95,81.54,482.71
16.73,65.94,1013.79,90.19,453.39
24.43,47.45,1007.68,65.18,446.45
7.61,38.06,1021.16,83.22,484.14
24.28,68.31,1009.94,77.08,440.07
19.4,64.63,1020.38,81.1,453.84
21.86,60.27,1016.06,90.48,446.31
30.22,74.9,1003.57,67.15,434.17
27.99,69.89,1013.94,51.25,435.79
10.08,37.92,1010.47,66.37,474.63
17.68,45.17,1017.5,77.57,461.96
29.12,66.51,1015.69,37.9,432.88
9.98,41.62,1013.56,95.77,463.16
22.37,50.78,1008.84,82.06,449.08
27.83,59.57,1011.22,71.05,443.85
10.51,39.04,1023.95,85.35,479.15
28.32,71.32,1008.02,78.82,433.82
17.3,43.72,1009.64,77.86,456.55
9.99,42.07,1018.78,85.68,471.6
25.6,73.67,1005.78,84.82,433.25
18.34,45.64,1019.05,82.53,460.58
18.51,48.06,1015.14,79.83,455.44
18.94,48.7,1007.82,92.88,453.36
14.55,44.84,1023.83,87.6,465.14
26.06,65.34,1014.07,57.63,444.55
19.78,50.32,1008.62,96.4,449.23
11.43,44.78,1013.43,82.45,471.09
33.6,74.33,1012.31,35.66,428.62
21.44,50.78,1008.87,87.56,443.3
19.05,67.32,1013.2,83.14,447.47
15.61,40.89,1010.48,80.26,467.3
8.1,40.64,1020.66,89.04,478.27
11.36,41.48,1012.8,76.16,465.37
10.22,39.64,1010.72,63.05,477.22
25.28,71.94,1006.73,86.69,432.26
26.44,71.73,1009.52,81.75,430.55
22.79,71.77,1005.75,90.91,435.53
27.26,73.18,1012.58,74.83,429.92
9.33,42.49,1008.93,82.59,478.43
23.37,63.87,1016.67,60.44,446.42
29.45,68.84,1011.64,59.7,438.41
15.07,40.69,1015.29,70.98,469.03
26.12,63.31,1013.97,51.6,439.77
13.97,41.16,1020.88,74.88,459.84
19.32,44.71,1015.3,28.81,464.38
28.14,61.47,1009.69,64.66,435.35
12.64,40.71,1024.2,65.21,476.37
21.52,66.51,1015.32,72.85,444.87
9.11,40.02,1031.1,83.02,479.03
15.93,25.88,1009.45,72.83,462.7
14.8,44.71,1014.67,41.71,470.77
18.28,60.1,1009.72,85.79,452.93
14.36,40.0,1016.16,68.79,460.42
6.92,43.13,1018.26,89.23,486.36
15.75,39.16,1016.31,77.99,468.87
9.98,41.01,1017.83,98.07,466.05
26.14,72.99,1007.49,81.72,433.25
7.53,43.65,1018.58,64.85,479.15
23.99,58.62,1016.91,66.36,449.4
28.82,77.24,1008.35,78.93,433.69
14.39,44.84,1023.55,91.14,464.15
20.08,62.52,1017.99,75.74,450.98
34.51,73.03,1013.73,39.42,439.8
12.98,39.64,1013.95,74.39,473.54
20.21,65.06,1016.46,73.36,451.46
25.39,58.79,1015.85,62.59,441.51
13.85,44.9,1019.11,76.79,467.2
7.82,38.91,1015.58,90.11,479.15
26.02,74.78,1010.04,72.78,439.82
21.53,58.05,1012.9,87.57,447.93
23.77,59.21,1011.97,80.08,440.08
16.05,43.14,1010.67,79.36,463.06
18.92,67.71,1008.19,64.53,446.77
26.52,63.94,1018.23,42.41,440.47
21.54,58.41,1013.99,86.34,450.69
14.5,41.76,1023.94,84.42,464.23
23.22,59.15,1014.58,75.18,443.7
21.4,74.93,1014.58,80.85,434.09
20.51,63.86,1020.65,75.36,447.18
18.86,42.18,1001.16,98.58,457.07
21.96,58.79,1012.1,88.74,447.31
11.49,39.22,1016.35,53.11,471.47
24.35,60.27,1017.6,75.45,441.74
30.93,71.85,1008.63,58.47,427.82
32.48,62.04,1010.39,38.05,446.48
16.18,43.99,1021.97,80.96,460.81
20.98,42.23,1012.9,70.7,462.27
23.95,58.79,1010.45,74.34,448.32
21.34,48.06,1014.49,63.23,458.13
12.91,40.73,1017.66,93.66,464.61
26.59,59.92,1009.97,70.09,438.22
14.93,41.79,1008.88,81.48,456.75
16.37,53.16,1014.89,74.84,459.52
11.47,43.67,1012.68,72.51,475.72
9.08,40.46,1019.48,77.37,476.81
10.03,42.02,998.6,99.9,471.07
21.98,55.97,1009.12,89.51,442.65
19.27,65.12,1015.63,73.48,449.42
19.66,42.18,1001.51,95.75,454.46
6.42,35.57,1025.58,79.63,485.86
24.31,65.94,1011.5,61.61,442.69
29.24,69.05,1003.12,43.18,432.56
26.91,70.47,1007.55,72.59,434.24
26.72,56.9,1007.12,58.54,435.16
16.34,47.45,1009.41,92.96,448.59
30.68,73.67,1005.63,57.05,429.64
6.25,40.02,1032.14,80.22,481.38
19.15,59.21,1018.41,88.9,450.26
14.74,44.47,1028.29,67.87,462.92
32.51,69.98,1013.29,54.07,429.66
25.23,60.84,1017.79,56.42,442.02
17.98,39.63,1005.42,82.12,466.69
26.34,59.21,1013.37,58.98,439.22
25.75,71.14,1008.33,77.12,433.64
7.76,39.61,1021.63,80.67,488.32
15.58,40.66,1016.34,87.42,460.61
26.04,72.43,1006.82,84.88,432.94
12.31,40.64,1020.71,94.6,475.65
12.88,44.0,1022.71,88.58,470.31
14.84,42.03,1017.47,79.27,466.2
8.27,35.76,1020.11,75.25,480.8
22.67,68.08,1013.0,66.59,443.79
28.31,74.34,998.42,79.23,431.95
5.82,40.62,1016.79,85.04,482.67
22.7,59.92,1011.05,90.84,436.7
26.9,77.95,1017.47,75.58,434.18
25.32,60.37,1006.19,73.94,438.5
4.16,35.47,1017.72,88.49,486.7
27.82,76.09,1007.83,76.07,434.52
22.29,56.89,1014.39,84.89,441.9
18.44,45.38,1014.3,86.02,461.99
32.92,69.05,1000.74,39.61,426.61
19.98,49.15,1021.56,63.89,457.54
15.84,52.72,1026.45,62.57,464.93
7.77,35.77,1016.53,73.79,479.68
18.76,44.71,1015.15,30.83,462.18
23.48,66.49,1014.41,62.61,450.05
11.97,41.04,1026.42,70.75,468.81
25.1,71.77,1004.34,82.8,429.7
16.73,45.0,1023.44,60.68,467.08
11.72,40.35,1012.08,83.98,476.41
9.5,37.36,1015.13,63.41,478.8
23.7,62.91,1012.26,57.89,444.99
25.21,63.21,1012.24,85.14,441.04
5.82,41.38,1021.06,86.91,492.12
27.18,64.79,1016.27,63.7,443.87
15.51,36.71,1014.05,72.92,465.85
6.18,41.38,1020.23,81.38,490.81
22.33,45.87,1007.8,63.61,447.02
11.36,40.75,1016.34,85.19,477.5
5.28,45.87,1008.25,97.88,479.91
21.71,60.77,1017.95,85.07,444.59
10.62,39.64,1010.51,68.55,478.37
22.66,68.3,1017.73,86.92,431.27
31.42,70.17,999.3,61.22,430.78
7.47,40.64,1020.47,94.8,478.08
22.82,69.94,1004.65,73.47,437.32
25.5,63.91,1009.4,75.22,444.26
32.84,68.14,1003.59,43.88,425.18
7.26,40.69,1020.43,90.22,474.91
19.16,43.43,1012.36,72.59,451.0
29.12,66.56,1006.9,49.79,429.94
9.95,41.82,1033.09,69.44,477.52
26.93,75.23,1010.19,62.12,434.1
10.23,42.32,1017.53,89.93,473.59
27.75,66.54,1010.21,46.37,437.58
10.33,40.6,1015.0,88.62,478.3
29.5,71.14,1011.27,52.81,430.85
18.22,49.25,1020.33,61.87,454.66
24.42,64.79,1016.12,69.32,449.1
21.35,57.76,1017.36,73.1,452.57
19.7,43.79,1015.93,47.39,464.41
17.78,58.95,1016.32,89.61,450.89
28.37,63.31,1013.18,49.02,437.64
24.66,48.78,1018.39,71.79,449.11
11.31,39.61,1018.74,68.9,471.92
11.27,40.62,1017.03,61.94,471.26
24.49,60.27,1018.96,72.62,440.87
21.83,41.1,1001.91,41.79,453.38
5.02,45.87,1007.8,99.22,481.03
19.39,60.1,1010.28,83.31,452.57
14.02,40.66,1017.05,84.14,465.39
26.45,75.6,1017.42,74.5,436.89
25.28,70.32,1006.91,81.74,431.43
8.81,44.68,1023.06,93.93,479.24
16.31,68.28,1003.98,98.62,450.33
13.44,39.39,1012.93,84.29,469.67
12.07,39.99,1009.7,93.27,473.06
21.96,48.78,1019.56,85.05,451.58
29.2,64.84,1009.94,55.37,441.9
23.91,67.69,1008.28,66.71,439.84
30.63,74.22,1007.47,46.52,430.38
9.61,39.04,1023.45,75.66,483.86
20.56,59.14,1016.02,68.59,448.82
15.69,41.93,1021.3,52.69,468.43
29.85,71.58,1010.04,58.66,432.26
19.43,52.9,1018.35,61.12,456.08
26.68,62.91,1012.33,60.78,441.04
30.35,77.17,1009.55,63.62,432.75
15.66,41.7,1018.0,77.0,452.58
29.71,73.18,1012.35,63.06,427.04
29.05,75.6,1017.63,51.16,439.14
31.1,71.32,1008.09,45.87,437.54
24.24,68.3,1018.03,81.51,437.12
20.24,56.65,1020.72,62.9,455.49
7.63,40.56,1023.13,81.01,486.7
26.92,67.25,1017.74,61.68,434.05
15.65,39.59,1012.8,87.63,461.94
22.85,47.43,1008.13,66.36,448.15
15.92,44.85,1015.84,59.99,467.41
32.57,78.92,1011.6,66.47,430.12
28.16,70.98,1008.51,72.12,435.04
27.16,56.85,1012.07,39.05,437.4
31.41,74.16,1008.65,68.5,430.37
9.23,39.66,1019.44,76.11,481.77
25.39,70.36,1006.76,73.62,436.5
27.01,69.75,1009.78,81.29,442.57
24.11,68.63,1014.34,45.28,448.45
18.18,61.87,1008.64,66.28,453.1
12.07,40.81,1025.63,68.02,475.96
10.74,40.05,1015.45,87.33,477.93
13.52,42.07,1017.91,90.21,464.07
13.08,41.74,1020.75,64.44,474.81
23.2,48.41,1008.64,80.92,444.69
12.93,41.39,1018.5,80.28,472.57
20.32,39.72,1001.38,57.21,456.18
11.74,40.71,1020.64,82.15,470.05
26.39,66.49,1012.96,60.35,433.36
18.92,62.26,1012.05,85.99,451.51
14.84,44.63,1019.28,57.37,466.0
8.73,39.42,1025.63,69.87,474.44
31.96,71.29,1008.39,47.51,433.04
19.74,67.71,1007.68,64.02,446.1
13.71,43.41,1015.45,69.26,466.06
26.9,66.48,1004.47,54.71,432.95
17.89,44.78,1010.03,53.78,457.74
22.26,44.89,1009.51,78.93,447.07
17.67,45.09,1014.26,51.92,457.67
12.03,40.75,1015.93,85.07,474.97
16.77,49.39,1018.61,95.86,459.38
16.51,51.86,1022.37,81.18,442.48
26.59,60.96,1011.9,52.41,439.77
23.25,71.29,1008.05,71.36,442.21
21.23,57.32,1010.99,75.17,443.87
12.41,37.92,1008.09,65.23,470.49
26.63,74.16,1009.72,83.26,436.03
20.08,63.09,1019.0,77.06,448.74
17.78,50.66,1015.09,91.9,456.11
14.3,53.82,1016.64,63.9,465.42
13.42,38.91,1012.81,73.82,472.22
31.76,66.54,1003.02,49.64,430.18
22.63,57.17,1009.83,77.43,433.54
12.32,43.69,1016.26,83.18,471.6
14.05,41.39,1019.06,68.54,472.19
23.19,45.61,1013.18,73.46,454.62
9.75,42.49,1010.57,83.63,480.35
29.89,65.74,1012.95,51.36,438.24
13.33,40.64,1020.92,91.47,474.07
16.92,44.6,1017.34,58.75,460.17
29.5,72.86,1004.63,52.17,439.43
10.7,36.18,1018.16,63.15,475.08
13.99,45.0,1023.83,77.92,472.55
26.95,72.24,1011.16,73.14,435.65
30.3,73.67,1005.57,58.74,431.57
10.63,40.67,1017.13,66.12,483.27
20.55,65.46,1013.87,58.09,448.83
31.98,70.17,999.43,59.42,430.92
30.98,71.29,1008.78,47.7,432.99
28.43,73.18,1012.52,71.05,427.11
28.07,64.09,1005.41,64.09,436.61
22.88,50.23,1016.11,63.77,458.08
26.94,59.87,1011.66,58.34,448.6
15.26,46.18,1013.68,98.58,463.6
26.52,71.64,1008.27,75.3,437.76
20.25,55.5,1020.03,69.33,455.13
18.12,50.16,1009.82,100.09,453.29
30.33,70.36,1006.72,70.31,438.47
21.24,63.47,1011.86,97.02,442.94
21.25,66.86,1012.99,60.65,455.72
27.07,66.93,1017.32,55.38,446.48
24.88,63.31,1014.23,55.76,441.54
10.54,41.93,1016.64,93.52,479.65
9.39,41.79,1021.6,50.09,473.73
32.88,72.29,1008.5,62.74,431.74
24.09,63.94,1017.59,51.02,442.92
30.71,68.27,1007.76,68.04,428.27
23.29,68.51,1013.19,77.81,441.17
15.14,44.21,1019.97,83.86,463.1
13.84,41.26,1020.92,74.74,462.46
10.91,42.34,1021.83,94.99,470.91
30.21,75.33,1002.24,66.71,431.46
27.02,72.58,1009.21,89.13,437.8
13.16,54.3,1017.33,82.43,468.4
24.4,60.32,1016.5,70.96,447.73
31.56,66.44,1008.91,64.16,430.11
23.51,70.04,1011.02,81.39,435.78
28.45,69.23,1013.07,39.46,436.96
14.84,41.23,995.02,88.0,464.85
12.83,41.67,1012.84,84.29,474.81
25.96,63.78,1016.95,49.47,443.8
23.54,65.27,1013.78,64.28,445.19
23.27,60.84,1019.13,67.24,440.22
17.64,57.76,1016.28,85.04,455.75
25.62,63.13,1013.84,83.49,439.13
26.54,71.98,1005.8,91.16,431.78
14.65,39.28,1014.04,77.98,470.41
11.48,44.6,1018.29,90.76,470.39
16.76,45.09,1014.28,57.71,458.67
12.91,41.16,1011.9,89.19,472.71
22.86,62.4,1010.59,78.24,445.66
21.19,42.48,1013.43,80.52,469.76
33.4,70.8,1009.17,57.01,432.46
20.28,62.52,1017.89,75.67,452.45
10.2,40.67,1016.15,73.2,482.26
27.11,70.04,1009.76,71.25,431.96
19.13,66.86,1012.95,71.24,453.31
19.76,48.92,1010.48,46.57,456.69
14.91,46.9,1019.59,98.1,461.73
24.6,49.3,1003.72,72.26,439.46
10.47,41.06,1022.24,81.16,477.47
14.77,58.2,1018.78,83.83,460.54
10.94,43.67,1012.36,73.3,477.34
15.34,41.96,1012.08,100.12,468.33
29.95,73.42,1011.44,66.32,432.81
23.99,68.12,1012.92,70.68,437.14
17.69,65.46,1013.72,67.28,448.49
33.45,73.88,1006.23,44.14,435.48
29.34,70.94,1007.82,62.43,433.57
8.64,39.69,1001.57,98.27,473.55
9.08,42.49,1010.67,85.35,481.46
20.24,58.41,1013.73,99.59,449.49
8.57,40.23,1017.53,90.46,484.17
22.12,57.19,1007.56,76.5,442.51
13.65,39.28,1012.97,79.64,471.91
22.04,59.14,1017.34,84.75,442.45
25.53,59.57,1010.65,82.04,445.59
20.13,60.07,1014.79,63.57,453.49
28.85,58.33,1013.78,41.39,444.0
25.2,59.21,1017.54,55.53,444.16
19.18,58.2,1017.46,76.72,453.2
26.72,65.61,1014.41,52.01,442.48
11.87,36.43,1023.42,79.5,474.17
25.02,50.78,1008.79,63.06,444.7
16.5,49.39,1018.35,93.42,462.48
13.75,44.47,1029.63,70.74,467.14
10.33,41.44,1015.24,86.72,478.79
10.06,39.61,1018.22,70.22,471.86
12.36,37.73,1021.36,65.45,470.39
34.33,69.05,1000.89,37.9,430.56
18.79,49.15,1021.69,70.16,458.75
20.01,43.77,1012.13,65.53,455.66
12.3,39.85,1012.59,73.38,476.42
15.5,39.16,1016.24,78.13,469.52
22.3,50.78,1008.85,81.27,449.86
18.48,52.05,1012.41,68.2,458.62
25.34,71.06,1007.74,92.52,434.86
25.8,44.57,1008.0,52.56,450.48
30.84,66.75,1017.54,40.69,432.03
5.84,41.38,1020.34,82.41,489.4
17.74,58.33,1013.55,81.8,446.01
19.94,61.87,1009.7,66.6,445.97
21.94,56.85,1011.01,77.72,442.63
14.11,45.08,1023.27,83.22,464.7
14.85,43.13,1016.02,55.29,470.37
31.24,71.98,1004.66,57.17,426.93
7.67,35.77,1017.55,60.97,480.06
30.85,68.94,1007.31,68.99,426.1
9.66,41.06,1021.21,84.7,482.2
20.12,45.09,1013.73,57.78,448.35
9.35,44.03,1011.02,88.11,476.25
7.0,39.81,1017.47,87.65,484.51
25.19,63.94,1012.78,75.15,438.73
12.19,40.05,1014.77,84.39,473.92
31.16,67.45,1014.69,32.25,428.35
20.36,65.27,1011.73,70.8,445.67
22.63,58.41,1013.69,90.32,445.43
22.12,69.71,1009.7,90.22,434.42
24.8,59.87,1018.79,60.79,441.0
12.03,41.58,1015.09,90.43,464.02
12.73,44.34,1015.11,93.55,472.94
16.05,38.28,1014.38,73.89,466.75
14.1,42.18,1015.05,78.25,463.3
11.7,41.16,1017.98,95.71,462.94
19.14,56.65,1020.84,82.97,458.06
19.15,39.72,1001.49,58.62,457.45
18.73,40.12,1013.19,74.12,454.71
14.6,42.32,1015.71,77.03,464.67
14.09,41.66,1009.25,71.4,469.93
15.74,43.34,1013.38,81.45,463.24
27.95,73.5,1010.42,58.01,435.45
30.2,71.8,1011.13,60.66,436.94
10.92,40.92,1021.84,83.03,467.05
4.97,38.91,1018.99,89.86,489.96
28.55,65.27,1013.34,48.95,437.62
16.58,37.64,1015.23,81.59,460.48
13.72,45.01,1014.07,77.0,464.59
29.18,71.43,1011.65,59.49,443.75
28.17,72.43,1007.37,68.92,428.88
30.96,64.44,1013.63,49.64,437.61
23.35,71.85,1009.32,73.48,441.28
9.53,41.44,1018.01,80.09,481.83
12.27,41.17,1019.41,58.1,475.13
26.12,63.94,1017.97,44.81,441.46
24.2,64.33,1011.15,84.23,442.78
20.23,69.45,1013.0,89.79,445.82
12.95,41.38,1021.97,53.83,474.46
30.75,71.25,1000.07,65.47,431.93
28.57,51.43,1012.02,47.79,450.04
31.82,71.29,1008.44,41.7,431.23
26.64,73.56,1004.98,93.31,432.93
17.13,43.79,1016.09,58.94,465.3
13.26,41.78,1009.77,61.69,467.78
8.2,41.14,1025.24,96.26,474.04
14.54,41.17,1015.15,67.78,470.19
27.0,69.34,1008.88,74.4,439.26
3.51,35.47,1017.53,86.56,489.07
20.31,49.69,1011.57,69.03,455.37
23.38,58.82,1012.27,77.87,446.54
6.79,40.0,1019.01,81.83,480.83
24.31,58.62,1017.29,64.44,449.12
23.25,51.86,1013.54,78.34,450.22
8.62,39.66,1015.18,89.59,482.99
15.33,43.13,1015.41,53.17,466.86
16.94,49.64,1024.43,69.22,459.25
18.99,62.1,1020.0,76.76,453.09
26.1,62.91,1012.44,60.91,446.05
31.32,71.29,1008.37,50.07,430.46
16.44,53.16,1014.82,75.29,458.49
33.01,68.67,1005.2,51.41,433.94
22.52,64.27,1014.34,82.77,445.4
27.78,60.07,1014.66,53.74,439.43
32.46,74.33,1012.61,37.07,427.87
12.62,34.03,1019.06,74.78,471.55
22.76,57.5,1014.75,74.38,451.7
25.56,60.32,1016.28,59.84,445.01
16.99,40.89,1011.54,64.51,464.95
29.45,74.16,1010.49,64.87,438.11
28.76,69.48,1008.62,55.86,430.14
16.37,36.99,1006.37,90.11,463.76
19.15,44.89,1009.6,74.52,451.09
26.06,67.83,1009.26,66.37,432.28
24.14,63.21,1012.28,89.08,440.74
14.5,39.0,1017.04,75.75,465.32
20.01,59.87,1019.0,84.12,448.39
9.66,41.82,1033.19,73.19,477.67
26.98,70.94,1007.99,68.16,434.73
3.4,39.64,1011.1,83.43,459.86
23.75,60.29,1017.36,64.04,449.57
18.53,61.27,1019.84,75.22,454.72
6.77,39.81,1017.01,87.68,488.27
28.5,72.99,1007.02,67.13,433.24
10.81,45.0,1023.45,85.89,482.63
27.83,72.29,1012.04,48.86,445.73
18.25,43.14,1011.51,55.16,462.78
22.68,50.78,1008.83,70.3,447.69
13.45,43.14,1015.5,74.33,474.1
14.17,42.86,1030.94,66.47,466.2
6.91,36.08,1021.82,84.31,486.37
15.01,42.77,1018.21,73.22,462.6
12.49,38.25,1012.61,83.32,470.63
26.35,59.44,1012.16,63.73,443.73
23.77,51.43,1006.67,84.09,441.54
16.71,42.99,1007.72,75.35,465.09
14.57,37.86,1022.44,68.82,463.58
11.16,40.05,1014.95,88.38,479.11
29.6,71.58,1010.34,52.56,434.64
15.12,41.79,1007.16,82.35,455.63
19.45,46.33,1013.39,99.52,452.82
21.75,45.09,1014.15,44.84,452.84
18.5,46.93,1015.0,66.81,455.63
24.47,57.85,1013.05,66.34,445.37
11.82,41.54,1019.96,67.65,476.97
19.89,68.08,1012.65,80.25,448.71
14.02,40.1,1015.56,82.44,467.32
17.72,39.99,1007.34,72.3,461.7
13.97,45.01,1017.44,89.15,461.96
13.14,40.66,1016.47,94.76,466.95
15.49,40.89,1007.16,82.16,465.37
15.3,43.14,1015.11,71.35,466.0
29.95,67.25,1017.68,51.91,433.13
8.77,40.46,1019.68,77.84,475.0
28.78,64.96,999.75,56.43,432.66
19.83,39.39,1013.73,59.16,463.72
13.51,43.41,1015.94,75.22,463.86
30.51,60.75,1009.86,51.0,435.57
8.53,40.02,1031.27,85.57,476.73
24.26,61.02,1009.78,76.68,442.86
14.03,41.79,1008.07,83.32,457.98
28.18,49.3,1003.97,55.56,438.91
23.82,73.67,1007.26,88.16,438.42
28.18,73.88,1005.89,75.41,434.48
8.18,43.69,1017.16,88.16,487.83
14.79,38.73,999.83,86.45,470.28
10.54,34.03,1018.71,74.0,478.77
7.79,41.16,1023.17,97.11,471.82
17.68,44.92,1024.55,69.7,458.12
11.2,41.54,1019.94,67.18,479.03
28.32,71.64,1004.73,72.71,436.31
11.84,39.28,1016.97,90.52,477.51
30.74,73.67,1005.79,57.89,428.92
24.66,63.73,1011.4,74.52,444.37
25.04,65.48,1017.66,57.08,440.92
5.99,35.79,1011.56,91.69,484.82
29.79,67.69,1006.86,55.93,428.71
14.89,39.58,1012.26,77.58,465.95
20.45,69.45,1012.53,91.81,441.83
11.75,42.32,1015.28,77.25,470.44
13.92,39.85,1012.64,68.03,473.47
23.53,68.94,1007.53,69.17,437.48
15.79,50.88,1014.58,99.9,460.19
25.26,52.3,1006.65,64.64,442.76
14.32,40.78,1024.49,73.84,457.92
22.48,50.05,1005.55,82.36,442.56
20.67,70.02,1010.42,94.09,448.75
9.94,40.46,1018.9,68.51,473.74
25.42,67.25,1017.92,68.61,439.43
31.38,68.27,1006.79,52.79,426.67
24.87,65.75,1006.45,65.75,435.6
11.71,40.05,1014.49,86.09,471.49
20.41,48.06,1012.62,76.21,451.26
26.67,70.94,1007.7,56.56,439.13
19.78,63.09,1019.01,78.39,448.34
11.44,41.39,1019.59,79.95,478.52
20.14,46.33,1013.24,83.39,453.35
31.41,74.16,1011.1,57.05,434.88
28.28,56.9,1006.38,64.99,445.61
20.9,67.71,1007.16,59.02,446.57
18.6,60.1,1009.91,87.13,453.94
26.31,71.29,1009.87,84.16,432.92
18.76,56.53,1020.04,86.62,452.5
9.35,41.03,1021.33,66.75,482.16
31.25,68.94,1005.99,49.61,434.51
24.34,48.78,1018.0,73.44,448.54
8.51,38.5,1013.33,64.28,482.39
29.96,67.83,1008.0,44.05,433.13
10.75,45.01,1018.73,93.16,471.47
14.31,42.86,1031.14,69.6,465.36
7.9,43.79,1016.14,83.05,485.26
14.67,45.01,1014.28,67.91,460.47
26.65,74.16,1008.27,94.54,431.47
24.07,71.97,1008.83,94.87,441.84
28.11,66.17,1010.51,65.16,444.2
23.95,60.37,1004.96,79.48,440.9
20.83,67.32,1011.76,73.11,443.17
32.36,73.91,1003.88,59.84,431.92
13.42,40.92,1022.84,75.89,458.49
26.27,71.98,1005.72,86.15,427.65
29.48,59.27,1010.99,51.23,440.72
15.81,58.59,1014.41,90.03,456.91
11.02,40.81,1016.31,78.13,474.01
20.0,69.48,1011.05,85.51,448.79
18.77,39.54,1009.39,63.35,458.58
24.37,68.14,1005.22,59.27,440.22
20.21,54.9,1016.82,66.56,454.23
17.9,43.72,1008.64,74.73,452.55
27.38,70.04,1011.18,72.26,428.88
14.87,35.71,1015.53,57.7,468.75
21.27,57.5,1014.53,80.76,453.34
17.06,52.9,1019.76,80.9,460.82
30.62,64.69,1006.23,52.06,435.84
6.63,39.37,1020.33,76.18,489.16
28.6,71.22,1003.15,58.33,443.01
23.57,67.9,1006.08,70.12,446.72
11.11,37.5,1013.68,73.67,473.32
19.94,44.9,1008.52,74.69,459.47
12.73,37.73,1021.89,61.76,470.89
30.46,66.75,1017.81,54.48,432.45
10.03,42.18,1017.3,85.99,475.74
31.92,68.3,1015.58,41.55,430.07
8.99,36.3,1027.08,73.98,478.95
32.09,70.4,1003.73,55.65,434.64
10.37,39.04,1023.95,81.93,479.35
8.25,43.14,1011.3,87.1,479.95
9.05,40.67,1015.57,75.48,486.55
14.26,42.86,1011.33,88.37,471.19
30.82,76.2,1007.47,59.3,432.22
28.0,69.05,1000.82,65.24,427.71
28.38,64.05,1010.19,71.84,439.83
27.69,69.71,1009.9,69.91,440.43
16.15,44.21,1020.76,85.41,462.02
23.24,68.31,1009.71,80.8,440.78
12.68,40.73,1017.66,92.08,465.94
14.56,41.76,1023.82,85.36,464.3
5.81,45.87,1009.63,94.38,479.66
29.32,71.29,1008.34,51.51,432.17
31.79,76.2,1007.89,56.3,434.01
26.62,70.36,1005.15,84.99,441.28
9.45,41.4,1027.06,87.35,479.0
31.02,69.51,1011.16,47.64,431.15
6.5,38.5,1013.92,90.1,486.78
13.56,39.58,1011.05,73.62,473.16
22.35,51.43,1011.34,77.33,445.34
25.79,75.6,1017.46,75.63,434.65
23.6,60.08,1017.51,63.02,451.97
16.58,41.79,1006.24,72.95,452.95
33.5,70.8,1008.99,57.24,433.19
21.14,48.78,1020.39,86.2,450.35
9.44,40.0,1015.62,81.16,471.32
16.65,49.69,1014.01,91.0,460.03
9.51,39.22,1015.3,72.41,474.12
12.48,40.67,1011.24,61.1,475.96
20.97,47.43,1007.64,71.18,448.22
14.62,44.84,1023.41,85.17,464.51
21.41,54.2,1011.37,82.28,448.11
29.62,73.18,1012.21,61.6,427.22
24.48,69.13,1002.88,69.43,432.71
24.82,66.48,1006.4,70.21,433.62
13.41,39.35,1015.1,79.32,471.85
18.68,46.0,1002.2,97.17,447.8
27.18,62.66,1009.89,52.83,442.16
12.54,44.03,1007.05,84.03,471.86
22.61,50.32,1008.41,79.4,444.74
13.44,37.85,1009.78,99.13,469.89
16.77,38.01,1023.04,65.5,460.16
22.06,64.15,1021.07,68.66,451.44
13.98,39.18,1009.61,89.12,467.97
19.44,48.7,1008.66,94.71,444.9
15.34,40.73,1018.03,86.19,458.55
19.02,52.72,1025.44,51.9,461.57
